date,price
12-12-1980,0.1003
15-12-1980,0.0955
16-12-1980,0.0885
17-12-1980,0.0902
18-12-1980,0.0929
19-12-1980,0.0985
22-12-1980,0.1034
23-12-1980,0.1077
24-12-1980,0.1134
26-12-1980,0.1238
29-12-1980,0.1256
30-12-1980,0.123
31-12-1980,0.1195
02-01-1981,0.1203
05-01-1981,0.1181
06-01-1981,0.1129
07-01-1981,0.1081
08-01-1981,0.1059
09-01-1981,0.1112
12-01-1981,0.1112
13-01-1981,0.1068
14-01-1981,0.1068
15-01-1981,0.109
16-01-1981,0.1086
19-01-1981,0.1147
20-01-1981,0.1116
21-01-1981,0.1134
22-01-1981,0.1147
23-01-1981,0.1147
26-01-1981,0.1129
27-01-1981,0.1125
28-01-1981,0.1086
29-01-1981,0.1046
30-01-1981,0.0994
02-02-1981,0.0933
03-02-1981,0.0963
04-02-1981,0.0998
05-02-1981,0.0998
06-02-1981,0.1003
09-02-1981,0.0959
10-02-1981,0.0951
11-02-1981,0.0924
12-02-1981,0.0916
13-02-1981,0.0898
17-02-1981,0.0911
18-02-1981,0.0951
19-02-1981,0.0898
20-02-1981,0.085
23-02-1981,0.0859
24-02-1981,0.0837
25-02-1981,0.0881
26-02-1981,0.0894
27-02-1981,0.0924
02-03-1981,0.0929
03-03-1981,0.092
04-03-1981,0.0911
05-03-1981,0.0907
06-03-1981,0.0902
09-03-1981,0.0828
10-03-1981,0.0789
11-03-1981,0.0763
12-03-1981,0.0785
13-03-1981,0.078
16-03-1981,0.0807
17-03-1981,0.0846
18-03-1981,0.0898
19-03-1981,0.0894
20-03-1981,0.0898
23-03-1981,0.0933
24-03-1981,0.0933
25-03-1981,0.092
26-03-1981,0.0898
27-03-1981,0.0868
30-03-1981,0.0863
31-03-1981,0.0863
01-04-1981,0.085
02-04-1981,0.092
03-04-1981,0.0924
06-04-1981,0.0911
07-04-1981,0.0902
08-04-1981,0.0942
09-04-1981,0.0959
10-04-1981,0.0973
13-04-1981,0.0973
14-04-1981,0.0973
15-04-1981,0.0929
16-04-1981,0.0876
20-04-1981,0.0898
21-04-1981,0.0959
22-04-1981,0.0994
23-04-1981,0.102
24-04-1981,0.102
27-04-1981,0.1007
28-04-1981,0.099
29-04-1981,0.0977
30-04-1981,0.099
01-05-1981,0.099
04-05-1981,0.099
05-05-1981,0.0985
06-05-1981,0.0959
07-05-1981,0.0968
08-05-1981,0.0977
11-05-1981,0.0959
12-05-1981,0.0955
13-05-1981,0.0955
14-05-1981,0.0946
15-05-1981,0.0959
18-05-1981,0.0977
19-05-1981,0.0963
20-05-1981,0.099
21-05-1981,0.1046
22-05-1981,0.1095
26-05-1981,0.1095
27-05-1981,0.1151
28-05-1981,0.1151
29-05-1981,0.1156
01-06-1981,0.1156
02-06-1981,0.1103
03-06-1981,0.1099
